dataset,method,method_name,best_acc,steps,train_loss,eval_acc,eval_f1
rte,ft,Full FT,0.6678700361010831,"[100, 200, 300, 400, 500, 600, 700, 800, 900]","[1.237958984375, 1.0073681640625, 0.914306640625, 0.44566761363636365, 0.5416597406914894, 0.5531946818033854, 0.22173429790296054, 0.19776188243519177, 0.17953292183254077]","[0.6245487364620939, 0.6534296028880866, 0.6209386281588448, 0.628158844765343, 0.6895306859205776, 0.6101083032490975, 0.6678700361010831, 0.6642599277978339, 0.6678700361010831]","[0.6054131054131053, 0.6510236220472441, 0.5739397934519885, 0.6257984130106893, 0.6893322900365153, 0.6101032217704098, 0.6636574807306515, 0.6639796517315594, 0.6678310740354536]"
rte,lora,LoRA,0.7978339350180506,"[100, 200, 300, 400, 500, 600, 700, 800, 900]","[1.05708984375, 0.9470751953125, 0.846796875, 0.45424027876420453, 0.42094194128158247, 0.38896634843614364, 0.12755989244109706, 0.12572510438886556, 0.13373309017523474]","[0.631768953068592, 0.6389891696750902, 0.7725631768953068, 0.7220216606498195, 0.7833935018050542, 0.7328519855595668, 0.779783393501805, 0.8050541516245487, 0.7978339350180506]","[0.6292125984251968, 0.613603392478518, 0.771801812404378, 0.7006582178995973, 0.7775219533090598, 0.7242223657302767, 0.7786293545048408, 0.8048481369376892, 0.7978313001772495]"
rte,dora,DoRA,0.8086642599277978,"[100, 200, 300, 400, 500, 600, 700, 800, 900]","[1.435703125, 1.09806640625, 0.9272347005208333, 0.4285500266335227, 0.39158338181515956, 0.3796033329433865, 0.17488137985530652, 0.16035911644046957, 0.14810660481452942]","[0.5884476534296029, 0.740072202166065, 0.7292418772563177, 0.703971119133574, 0.7689530685920578, 0.8014440433212996, 0.779783393501805, 0.7942238267148014, 0.8050541516245487]","[0.5845, 0.7375789473684211, 0.7251002342106307, 0.6805524302430244, 0.7682735543239569, 0.8011849299873417, 0.7783854678995343, 0.7942130987292277, 0.8049906132665832]"
rte,hidora,Hi-DoRA,0.7870036101083032,"[100, 200, 300, 400, 500, 600, 700, 800, 900]","[1.4313127326965331, 1.0836055850982667, 0.934028886159261, 0.47202994606711646, 0.42038191125748003, 0.39398744371202254, 0.10121745380916093, 0.13703741116279905, 0.13073171329671057]","[0.6606498194945848, 0.740072202166065, 0.6498194945848376, 0.7509025270758123, 0.7509025270758123, 0.776173285198556, 0.7942238267148014, 0.7942238267148014, 0.7833935018050542]","[0.6514510601841936, 0.7385696308724832, 0.5948888051262722, 0.7508505729146299, 0.7502645917447375, 0.7761703680533834, 0.7931454624061628, 0.7935349731277705, 0.7833906787613387]"
rte,relora,ReLoRA,0.7725631768953068,"[100, 200, 300, 400, 500, 600, 700, 800, 900]","[1.26560546875, 0.982587890625, 0.873447265625, 0.5456459738991477, 0.4780828597697806, 0.4068216747707791, 0.14334427682976975, 0.16517673839222302, 0.17233104982237885]","[0.6678700361010831, 0.7075812274368231, 0.7472924187725631, 0.7545126353790613, 0.7581227436823105, 0.7689530685920578, 0.7617328519855595, 0.7725631768953068, 0.7725631768953068]","[0.6497526113249037, 0.7063412080361233, 0.7431924136469591, 0.7543557642149191, 0.7552519484629892, 0.7663925785367911, 0.7617297466374726, 0.7725157404872707, 0.7725157404872707]"
